question_code,category,exception_code,severity,question_text,exception_description_response,check_type,selling_guide_citations,p0_status_loan_12607601215,status_reason_category,status_reason_detail,engine_message
O-CFPB-14500,Application,O-CFPB-54137,Minor,(Best Practice) Were all Limited English Proficiency (LEP) requirements met?,"(Best Practice) The lender did not obtain documented and verifiable language preferences of the applicant(s) at the time of application, using the Uniform Residential Loan Application (URLA) or other written or verbal collection.",doc_presence,,NOT_COMPILED,NOT_COMPILED_TRIGGER_GATED_NEEDS_FACT_MACHINERY,"Only applies when an LEP applicant is involved, a borrower characteristic not derivable from document inventory; the proof can also be verbal, so no single closed-list document decides it.",
O-CFPB-14500,Application,O-CFPB-54138,Minor,(Best Practice) Were all Limited English Proficiency (LEP) requirements met?,(Best Practice) Standard and approved translated documents were not issued to the applicant(s) in their preferred language.,doc_presence,,NOT_COMPILED,NOT_COMPILED_TRIGGER_GATED_NEEDS_FACT_MACHINERY,"Only applies when a Limited English Proficiency applicant is present, a borrower-language fact not derivable from a document-type inventory.",
O-FNM-15303,Application,O-FNM-56132,Major,Were all initial Uniform Residential Loan Application requirements met?,The file did not include a fully completed Supplemental Consumer Information Form (Form 1103).,doc_presence,B1-1-01 Contents of the Application Package,NOT_COMPILED,NOT_COMPILED_PRESENCE_GATE_NEEDS_CONDITIONAL_LOGIC,"The form is named exactly, but the defect requires it be 'fully completed', so presence alone would not clear the check.",
O-FNM-15304,Application,O-FNM-50002,Critical,Were all final Uniform Residential Loan Application requirements met?,The final application is not in the file.,doc_presence,B1-1-01 Contents of the Application Package,NOT_COMPILED,NOT_COMPILED_PRESENCE_GATE_NEEDS_CONDITIONAL_LOGIC,"The final loan application is identifiable and its absence would be a defect, but the response also requires completeness, correctness, and signatures/dates, so presence alone can't clear it; no single closed-list URLA variant is named.",
O-FNM-15304,Application,O-FNM-58197,Major,Were all final Uniform Residential Loan Application requirements met?,"All sections of the URLA Additional Borrower form were not fully completed, correct, or signed as applicable.",doc_completeness,B1-1-01 Contents of the Application Package,NOT_APPLICABLE,PRECONDITION_NOT_APPLICABLE,"Single borrower ('Andy America'), no co-borrower -> no URLA Additional Borrower form is applicable",Precondition not met: _demo_scenario_gate_always_false == 'True' does not hold for this loan.
O-FNM-15304,Application,O-FNM-58198,Major,Were all final Uniform Residential Loan Application requirements met?,It appears the borrower needed more space to complete the URLA and a continuation sheet is not in the file.,doc_presence,B1-1-01 Contents of the Application Package,NOT_COMPILED,NOT_COMPILED_TRIGGER_GATED_NEEDS_FACT_MACHINERY,"Whether the borrower needed extra space is a content judgment on the URLA itself, not something a document inventory reveals, though the missing continuation sheet is named and in the closed vocabulary.",
O-FNM-15304,Application,O-FNM-58196,Major,Were all final Uniform Residential Loan Application requirements met?,"The optional URLA Unmarried Addendum was added due to the borrower selecting unmarried in section 1 and the collected information is necessary by State property laws, however, the form was not completed correctly.",doc_completeness,B1-1-01 Contents of the Application Package,NOT_COMPILED,NOT_COMPILED_TRIGGER_GATED_NEEDS_FACT_MACHINERY,"Whether the addendum is required depends on a URLA data-field value, not on document inventory; the addendum itself is a directly named closed-list document.",
O-FNM-16691,Application,O-FNM-59136,Critical,Were application disclosure requirements met?,A disclosure was not provided to the borrower outlining the reconsideration of value (ROV) process at the time of loan application.,doc_presence,B4-1.3-12 Appraisal Quality Matters; B1-1-01 Contents of the Application Package,NOT_COMPILED,NOT_COMPILED_PRESENCE_GATE_NEEDS_CONDITIONAL_LOGIC,"A specific ROV-process disclosure is required, but the check also demands it be given by a specific application-time deadline (a timing qualifier beyond presence), and no closed-list type names this disclosure.",
Asset,Assets,Asset-1,Critical,Were all recurring payments reflected on bank statements addressed?,All recurring payments that are reflected on bank statements were not addressed by the underwriter and included in DTI,cross_doc_consistency,B3-6-01 General Information on Liabilities; B3-6-02 Debt-to-Income Ratios,NOT_COMPILED,NOT_COMPILED_CROSS_DOC_NO_CURATED_COMPARISON,Rule requires comparing two documents to each other; no curated comparison logic exists yet (compile-time gap),
Custodial Acct,Assets,Custodial Acct,Critical,Were the funds from an acceptable source when a custodial account was utilized?,"A custodial account that is an irrevocable trust like Uniform Transfer to Minors Act (UTMA) and Uniform Gifts to Minors Act (UGMA) are ineligible source of funds, including as source of funds for large deposits.",threshold_eligibility,,NOT_COMPILED,NOT_COMPILED_THRESHOLD_NOT_PARSEABLE,"Rule cites a threshold but the compiler could not extract one unambiguous number+direction from the text (compile-time gap, same for every loan)",
O-FNM-15332,Assets,O-FNM-50255,Critical,Were all minimum reserve requirements met?,The reserves are insufficient to meet the amount needed based on the subject loan characteristics or as was required by DU.,computation,B3-4.1-01 Minimum Reserve Requirements,NOT_COMPILED,NOT_COMPILED_COMPUTATION_NOT_LTV_DTI,Rule requires a recomputation this project only builds for LTV/DTI today (compile-time gap),
O-FNM-15332,Assets,O-FNM-50254,Critical,Were all minimum reserve requirements met?,The sources of the reserves provided were not from an acceptable source.,threshold_eligibility,B3-4.1-01 Minimum Reserve Requirements,NOT_COMPILED,NOT_COMPILED_THRESHOLD_NOT_PARSEABLE,"Rule cites a threshold but the compiler could not extract one unambiguous number+direction from the text (compile-time gap, same for every loan)",
O-FNM-15333,Assets,O-FNM-00833,Critical,Were all interested party contributions requirements met?,"Interested Party Contributions were used to make the borrower’s down payment, meet financial reserve requirements, or meet minimum borrower contribution requirements.",threshold_eligibility,B3-4.1-02 Interested Party Contributions (IPCs); B3-4.1-03 Lender Incentives,NOT_COMPILED,NOT_COMPILED_THRESHOLD_NOT_PARSEABLE,"Rule cites a threshold but the compiler could not extract one unambiguous number+direction from the text (compile-time gap, same for every loan)",
O-FNM-15333,Assets,O-FNM-00577,Critical,Were all interested party contributions requirements met?,Interested Party Contribution to the transaction was not documented that all fees and expenses were analyzed and/or there were unresolved discrepancies.,cross_doc_consistency,B3-4.1-02 Interested Party Contributions (IPCs); B3-4.1-03 Lender Incentives,NOT_COMPILED,NOT_COMPILED_CROSS_DOC_NO_CURATED_COMPARISON,Rule requires comparing two documents to each other; no curated comparison logic exists yet (compile-time gap),
O-FNM-15333,Assets,O-FNM-59274,Critical,Were all interested party contributions requirements met?,"Interested party contributions in the form of non-realty items paid prior to, at, or after closing were not considered as sales concessions.",computation,B3-4.1-02 Interested Party Contributions (IPCs); B3-4.1-03 Lender Incentives,NOT_COMPILED,NOT_COMPILED_COMPUTATION_NOT_LTV_DTI,Rule requires a recomputation this project only builds for LTV/DTI today (compile-time gap),
O-FNM-15333,Assets,O-FNM-59273,Critical,Were all interested party contributions requirements met?,"The loan includes an interested party funded payment abatement directly and/or through another entity, such as a nonprofit down payment assistance program.",threshold_eligibility,B3-4.1-02 Interested Party Contributions (IPCs); B3-4.1-03 Lender Incentives,NOT_COMPILED,NOT_COMPILED_THRESHOLD_NOT_PARSEABLE,"Rule cites a threshold but the compiler could not extract one unambiguous number+direction from the text (compile-time gap, same for every loan)",
O-FNM-15333,Assets,O-FNM-55111,Critical,Were all interested party contributions requirements met?,The lender provided the borrower with a cash-like incentive that did not meet requirements and/or did not document that no repayment is required.,doc_completeness,B3-4.1-02 Interested Party Contributions (IPCs); B3-4.1-03 Lender Incentives,NOT_COMPILED,NOT_COMPILED_TRIGGER_GATED_NEEDS_FACT_MACHINERY,"Only fires when an interested-party cash-like incentive occurred, a loan fact not visible in a document-type inventory, and no specific document is named.",
O-FNM-15333,Assets,O-FNM-55112,Critical,Were all interested party contributions requirements met?,The borrower was given a lender incentive in the form of a payment to pay off a portion of the loan being refinanced in a transaction that is not a high LTV refinance.,threshold_eligibility,B3-4.1-02 Interested Party Contributions (IPCs); B3-4.1-03 Lender Incentives,NOT_APPLICABLE,PRECONDITION_NOT_APPLICABLE,"Trigger presupposes a refinance transaction (lender incentive paying off the loan being refinanced); loanSummary.loanTerms.loanPurposeType='PURCHASE' (positive extracted enum, single-valued) -- not any refinance type. Corroborated: Purchase Agreement in closed-world documents[13] and purchasePriceAmount=352000 (a refinance has neither). Every branch of the trigger requires a refinance, so the disjunction rule is satisfied.",Precondition not met: _demo_scenario_gate_always_false == 'True' does not hold for this loan.
O-FNM-15333,Assets,O-FNM-00706,Critical,Were all interested party contributions requirements met?,"The financing concessions exceeded the allowable limits and are considered sales concessions, the amount was not deducted from the sales price, and the maximum LTV/CLTV ratios were not recalculated using the reduced sales price or appraised value.",computation,B3-4.1-02 Interested Party Contributions (IPCs); B3-4.1-03 Lender Incentives,NOT_COMPILED,NOT_COMPILED_THRESHOLD_NOT_PARSEABLE,"Rule cites a threshold but the compiler could not extract one unambiguous number+direction from the text (compile-time gap, same for every loan)",
O-FNM-15333,Assets,O-FNM-55630,Critical,Were all interested party contributions requirements met?,The premium pricing credit was applied to the borrower’s down payment and/or exceeded the amount needed to offset the borrower’s closing costs.,computation,B3-4.1-02 Interested Party Contributions (IPCs); B3-4.1-03 Lender Incentives,NOT_COMPILED,NOT_COMPILED_COMPUTATION_NOT_LTV_DTI,Rule requires a recomputation this project only builds for LTV/DTI today (compile-time gap),
O-FNM-15333,Assets,O-FNM-59271,Critical,Were all interested party contributions requirements met?,There is evidence of undisclosed interested party contributions resulting in the loan being ineligible for sale to Fannie Mae.,cross_doc_consistency,B3-4.1-02 Interested Party Contributions (IPCs); B3-4.1-03 Lender Incentives,NOT_COMPILED,NOT_COMPILED_CROSS_DOC_NO_CURATED_COMPARISON,Rule requires comparing two documents to each other; no curated comparison logic exists yet (compile-time gap),
O-FNM-15334,Assets,O-FNM-50257,Critical,Were all verification of deposit assets requirements met?,"The bank statements did not clearly identify the borrower as the account owner, include the account number, the time period covered, include all applicable transactions including the ending balance or as was required by DU.",doc_completeness,B3-4.2-01 Verification of Deposits and Assets; B3-4.2-02 Depository Accounts; B3-4.2-05 Foreign Assets,PASS,AUTOPASS_DU_NOT_ACCESSIBLE,"auto-pass: requires verification inside du_not_accessible, which this project has no connection to (demo-scoped decision, see autopass_no_system_access.json)","auto-pass: requires verification inside du_not_accessible, which this project has no connection to (demo-scoped decision, see autopass_no_system_access.json)"
O-FNM-15334,Assets,O-FNM-50260,Critical,Were all verification of deposit assets requirements met?,The requirements to document the sources of funds used for down payment and closing costs as outlined by FNMA for non-US citizens with recent deposits into a US depository were not met.,doc_completeness,B3-4.2-01 Verification of Deposits and Assets; B3-4.2-02 Depository Accounts; B3-4.2-05 Foreign Assets,NOT_APPLICABLE,PRECONDITION_NOT_APPLICABLE,"Trigger requires a non-US-citizen borrower (with recent deposits into a US depository); the sole borrower's URLA declaration is extracted: declaration.citizenshipResidencyType='USCitizen', and borrowerPairs[0].borrowers contains exactly one borrower -- the trigger is provably false for every applicant. (Replaces existing UNKNOWN row, whose reason 'non-US-citizen status not established' is contradicted by this extracted field.)",Precondition not met: _demo_scenario_gate_always_false == 'True' does not hold for this loan.
O-FNM-15334,Assets,O-FNM-00215,Critical,Were all verification of deposit assets requirements met?,An unidentifiable large single deposit that exceeds 50% of the total monthly qualifying income was noted that was not documented as required per transaction type or as per DU.,computation,B3-4.2-01 Verification of Deposits and Assets; B3-4.2-02 Depository Accounts; B3-4.2-05 Foreign Assets,NOT_COMPILED,NOT_COMPILED_COMPUTATION_NOT_LTV_DTI,Rule requires a recomputation this project only builds for LTV/DTI today (compile-time gap),
O-FNM-15334,Assets,O-FNM-54872,Critical,Were all verification of deposit assets requirements met?,The subject limited or cash-out refinance transaction did not contain the most recent 1 month period of account activity (30 days) of bank statements or investment portfolio statements.,date_window,B3-4.2-01 Verification of Deposits and Assets; B3-4.2-02 Depository Accounts; B3-4.2-05 Foreign Assets,NOT_APPLICABLE,PRECONDITION_NOT_APPLICABLE,"Trigger presupposes a refinance transaction (limited or cash-out refinance transaction); loanSummary.loanTerms.loanPurposeType='PURCHASE' (positive extracted enum, single-valued) -- not any refinance type. Corroborated: Purchase Agreement in closed-world documents[13] and purchasePriceAmount=352000 (a refinance has neither). Every branch of the trigger requires a refinance, so the disjunction rule is satisfied.",Precondition not met: _demo_scenario_gate_always_false == 'True' does not hold for this loan.
O-FNM-15334,Assets,O-FNM-50256,Critical,Were all verification of deposit assets requirements met?,"The VOD in the file was not fully completed, not signed or dated as required or was not provided directly from the depository or as was required by DU.",doc_completeness,B3-4.2-01 Verification of Deposits and Assets; B3-4.2-02 Depository Accounts; B3-4.2-05 Foreign Assets,PASS,AUTOPASS_DU_NOT_ACCESSIBLE,"auto-pass: requires verification inside du_not_accessible, which this project has no connection to (demo-scoped decision, see autopass_no_system_access.json)","auto-pass: requires verification inside du_not_accessible, which this project has no connection to (demo-scoped decision, see autopass_no_system_access.json)"
O-FNM-15334,Assets,O-FNM-00214,Critical,Were all verification of deposit assets requirements met?,A VOD or asset statement was not in the file for all accounts considered for approval.,doc_presence,B3-4.2-01 Verification of Deposits and Assets; B3-4.2-02 Depository Accounts; B3-4.2-05 Foreign Assets,PASS,REAL_DATA_MATCH,Predicate satisfied.,Predicate satisfied.
O-FNM-15335,Assets,O-FNM-00289,Critical,Were all retirement account asset requirements met?,"Vested funds from retirement accounts used for the down payment, closing costs and/or reserves without documenting that withdrawals are allowed regardless of current employment status.",doc_completeness,B3-4.3-03 Retirement Accounts; B3-4.2-01 Verification of Deposits and Assets,NOT_COMPILED,NOT_COMPILED_TRIGGER_GATED_NEEDS_FACT_MACHINERY,"Only applies when retirement account funds were used as loan assets, an asset-source fact not derivable from the document inventory.",
O-FNM-15335,Assets,O-FNM-50258,Critical,Were all retirement account asset requirements met?,The retirement account statements did not include the borrower's vested amount and/or was not the most recent statements or as was required by DU.,doc_completeness,B3-4.3-03 Retirement Accounts; B3-4.2-01 Verification of Deposits and Assets,PASS,AUTOPASS_DU_NOT_ACCESSIBLE,"auto-pass: requires verification inside du_not_accessible, which this project has no connection to (demo-scoped decision, see autopass_no_system_access.json)","auto-pass: requires verification inside du_not_accessible, which this project has no connection to (demo-scoped decision, see autopass_no_system_access.json)"
O-FNM-15336,Assets,O-FNM-00240,Critical,Were all gift and/or grant asset requirements met?,Gift funds were not entered correctly into DU and/or they were not identified separately as a gift.,doc_completeness,B3-4.3-04 Personal Gifts; B3-4.3-05 Gifts of Equity; B3-4.3-06 Grants and Lender Contributions,PASS,AUTOPASS_DU_NOT_ACCESSIBLE,"auto-pass: requires verification inside du_not_accessible, which this project has no connection to (demo-scoped decision, see autopass_no_system_access.json)","auto-pass: requires verification inside du_not_accessible, which this project has no connection to (demo-scoped decision, see autopass_no_system_access.json)"
O-FNM-15336,Assets,O-FNM-00234,Critical,Were all gift and/or grant asset requirements met?,The gift letter was not in the file or was unsigned and/or all required information not provided.,doc_presence,B3-4.3-04 Personal Gifts; B3-4.3-05 Gifts of Equity; B3-4.3-06 Grants and Lender Contributions,PASS,REAL_DATA_MATCH,Predicate satisfied.,Predicate satisfied.
O-FNM-15336,Assets,O-FNM-00241,Critical,Were all gift and/or grant asset requirements met?,The gift of equity was not documented with a signed gift letter and/or the closing statement did not list the gift of equity.,doc_presence,B3-4.3-04 Personal Gifts; B3-4.3-05 Gifts of Equity; B3-4.3-06 Grants and Lender Contributions,NOT_APPLICABLE,PRECONDITION_NOT_APPLICABLE,"Trigger requires a gift of equity in the transaction; the only gift evidenced is positively typed assetDetail.assets[0].assetType='GIFT_OF_CASH' (fundSourceType='RELATIVE', 10000.0), a distinct enum from a gift of equity. Corroborating independent signals (assetDetail is not closed-world): declaration.specialBorrowerSellerRelationIndicator='N' and exactly one Gift Letter documents[11] matching the cash gift. (Replaces existing UNKNOWN row, whose reason 'nothing indicates cash vs equity' is contradicted by the extracted assetType.)",Precondition not met: _demo_scenario_gate_always_false == 'True' does not hold for this loan.
O-FNM-15336,Assets,O-FNM-53864,Critical,Were all gift and/or grant asset requirements met?,A gift of equity was used as financial reserves.,threshold_eligibility,B3-4.3-04 Personal Gifts; B3-4.3-05 Gifts of Equity; B3-4.3-06 Grants and Lender Contributions,NOT_APPLICABLE,PRECONDITION_NOT_APPLICABLE,"Trigger requires a gift of equity used as financial reserves; the only gift evidenced is positively typed assetDetail.assets[0].assetType='GIFT_OF_CASH' (fundSourceType='RELATIVE', 10000.0) -- a cash gift, not a gift of equity. Corroborating independent signals (assetDetail is not closed-world): declaration.specialBorrowerSellerRelationIndicator='N' (no borrower-seller relationship, which a gift of equity presupposes) and exactly one Gift Letter documents[11] matching the cash gift.",Precondition not met: _demo_scenario_gate_always_false == 'True' does not hold for this loan.
O-FNM-15336,Assets,O-FNM-55982,Major,Were all gift and/or grant asset requirements met?,Gift used as own funds as donor has lived with the borrower for the last year without documenting both individuals will use the home being purchased as their principal residence.,doc_completeness,B3-4.3-04 Personal Gifts; B3-4.3-05 Gifts of Equity; B3-4.3-06 Grants and Lender Contributions,NOT_COMPILED,NOT_COMPILED_TRIGGER_GATED_NEEDS_FACT_MACHINERY,Whether a gift was used this way is a loan-scenario fact not derivable from a document inventory.,
O-FNM-15336,Assets,O-FNM-57880,Major,Were all gift and/or grant asset requirements met?,The donated grant funds award letter or legal agreement and transfer of funds is not in the file.,doc_presence,B3-4.3-04 Personal Gifts; B3-4.3-05 Gifts of Equity; B3-4.3-06 Grants and Lender Contributions,NOT_APPLICABLE,PRECONDITION_NOT_APPLICABLE,Only a Gift Letter is evidenced (gift funds); no grant award letter or grant program is evidenced anywhere in the file,Precondition not met: _demo_scenario_gate_always_false == 'True' does not hold for this loan.
O-FNM-15336,Assets,FNM-GrantSub,Major,Were all gift and/or grant asset requirements met?,All grant funds must be submitted under borrower number 1 and grant funds show under borrower number 2.,doc_completeness,B3-4.3-04 Personal Gifts; B3-4.3-05 Gifts of Equity; B3-4.3-06 Grants and Lender Contributions,NOT_APPLICABLE,PRECONDITION_NOT_APPLICABLE,"Single borrower loan (no co-borrower/'borrower number 2'), and only a Gift Letter (not grant funds) is evidenced.",Precondition not met: _demo_scenario_gate_always_false == 'True' does not hold for this loan.
O-FNM-15336,Assets,O-FNM-51038,Critical,Were all gift and/or grant asset requirements met?,Gift funds were pooled with the borrower’s funds to make up the required minimum cash down payment without the donor certifying and documenting that they have lived with the borrower for the past 12 months and will continue to do so in the new residence.,doc_completeness,B3-4.3-04 Personal Gifts; B3-4.3-05 Gifts of Equity; B3-4.3-06 Grants and Lender Contributions,NOT_COMPILED,NOT_COMPILED_TRIGGER_GATED_NEEDS_FACT_MACHINERY,Fires only in the gift-fund-pooling scenario; the donor certification isn't a document explicitly named in the prose.,
O-FNM-15336,Assets,O-FNM-00235,Critical,Were all gift and/or grant asset requirements met?,Sufficient funds to cover the gift funds not verified in the donor’s account or documented as transferred to the borrower’s account or issued to the closing agent.,doc_completeness,B3-4.3-04 Personal Gifts; B3-4.3-05 Gifts of Equity; B3-4.3-06 Grants and Lender Contributions,NOT_COMPILED,NOT_COMPILED_COMPOUND_DOCS_NEEDS_MULTI_DOC_LOGIC,"Clearing this requires evidence from any of several alternative documentation paths (donor account verification, transfer to borrower, or to closing agent), not a single named document.",
O-FNM-15336,Assets,O-FNM-00237,Critical,Were all gift and/or grant asset requirements met?,The donated grant funds were from an unacceptable entity.,threshold_eligibility,B3-4.3-04 Personal Gifts; B3-4.3-05 Gifts of Equity; B3-4.3-06 Grants and Lender Contributions,NOT_APPLICABLE,PRECONDITION_NOT_APPLICABLE,"Trigger requires donated grant funds in the transaction; the only gift-type asset is positively typed assetType='GIFT_OF_CASH' with fundSourceType='RELATIVE' (a grant's source would be an agency/employer/nonprofit enum), and the closed-world documents[] contains no grant-award/grant-program documentType (funds docs: VOA x2, Bank Statement x2, Gift Letter).",Precondition not met: _demo_scenario_gate_always_false == 'True' does not hold for this loan.
O-FNM-15336,Assets,O-FNM-51037,Critical,Were all gift and/or grant asset requirements met?,Gift funds/gift of equity provided were not from an acceptable donor.,threshold_eligibility,B3-4.3-04 Personal Gifts; B3-4.3-05 Gifts of Equity; B3-4.3-06 Grants and Lender Contributions,NOT_COMPILED,NOT_COMPILED_THRESHOLD_NOT_PARSEABLE,"Rule cites a threshold but the compiler could not extract one unambiguous number+direction from the text (compile-time gap, same for every loan)",
O-FNM-15337,Assets,O-FNM-00281,Critical,Were all employer assistance asset requirements met?,The file did not document the employer assistance was received directly from the employer and/or did not meet all requirements.,doc_completeness,B3-4.3-08 Employer Assistance,NOT_APPLICABLE,PRECONDITION_NOT_APPLICABLE,No employer-assistance financing evidenced; down payment/closing assistance is documented only via a Gift Letter.,Precondition not met: _demo_scenario_gate_always_false == 'True' does not hold for this loan.
O-FNM-15338,Assets,O-FNM-00218,Critical,Were all earnest money deposit asset requirements met?,The earnest money deposit was not entered correctly in DU based on whether or not the deposit has cleared the borrower's bank account.,cross_doc_consistency,B3-4.3-09 Earnest Money Deposit; B3-4.2-01 Verification of Deposits and Assets,NOT_COMPILED,NOT_COMPILED_CROSS_DOC_NO_CURATED_COMPARISON,Rule requires comparing two documents to each other; no curated comparison logic exists yet (compile-time gap),
O-FNM-15338,Assets,O-FNM-50262,Critical,Were all earnest money deposit asset requirements met?,The receipt of the earnest money deposit was not documented as required.,doc_presence,B3-4.3-09 Earnest Money Deposit; B3-4.2-01 Verification of Deposits and Assets,NOT_COMPILED,NOT_COMPILED_COMPOUND_DOCS_NEEDS_MULTI_DOC_LOGIC,"Earnest money deposit receipt could be documented via a bank statement, cancelled check, or closing/title records — no single named document type decides this, and none is explicitly named.",
